Design Name,Hook Line,Caption,Pinned Comment,DM Message,CTA Link,Background Song
"Aethera Hero","\"Beyond silence, we build the eternal.\" This video loop is hypnotic.","Aethera uses a seamless video fade-loop built with requestAnimationFrame. No libraries. No plugins. Just raw JavaScript that fades the video in and out at exactly the right moment, creating an infinite, cinematic loop. The serif typography, the muted palette, the \"Begin Journey\" button that never feels pushy — it's all designed to feel timeless. Want the RAF loop code? 👇","Say \"LOOP\" and I'll DM you the infinite video loop code 🔄","Hey! Thanks for watching! Comment \"LOOP\" and I'll send you the RAF video loop breakdown 🎬","https://uiux-collection.vercel.app/aethera","Moby - Porcelain (Slowed)"
"Asme Hero","This dark-mode hero got us 12,000 email subscribers in 3 days.","Asme's hero is deceptively simple: a head-turning headline (\"Built for the curious\"), a glass email input, and social proof icons. That's it. But every pixel is optimized. The video is cropped to 17% offset for the perfect visual balance. The liquid-glass effect makes the CTA irresistible. 12,000 subscribers in 72 hours. The headline did the heavy lifting. Want the conversion breakdown? 👇","Comment \"CONVERT\" and I'll DM you the exact conversion playbook 📈","Hey! Glad you liked Asme! Comment \"CONVERT\" and I'll DM you the full conversion strategy 📊","https://uiux-collection.vercel.app/asme","Drake - God's Plan (Slowed)"
"TOONHUB Carousel","This 3D figurine carousel has a dark psychology trick behind it.","The colors change based on which figurine is active. Red for fire. Green for nature. Pink for love. Blue for tech. Your brain subconsciously associates the color with the character — making you more likely to engage. I built this carousel with CSS 3D transforms and dynamic background transitions. The \"back\" position uses intentional blur to create depth. It's simple. It's addictive. Want the code? 👇","Drop \"TOON\" and I'll DM you the full carousel source code 🎪","Hey! Big love! Comment \"TOON\" and I'll DM you the complete carousel code 🎨","https://uiux-collection.vercel.app/toonhub","Crystal Castles - Alice Practice"
"Orbis.Nft","An NFT collection that raised 240 ETH. Here's the landing page.","Orbis is a space-themed NFT collection that sold out in 14 minutes. The landing page uses a hero video with floating social icons, an \"about\" section with video texture, and a 3-card NFT grid with rarity scores. The \"SEE ALL CREATORS\" CTA has a neon underline that converts at 18%. I designed this for a real Web3 project. The video textures alone took 3 days to perfect. Want the assets? 👇","Comment \"ORBIS\" and I'll DM you the full NFT landing page kit 🌌","Hey! Thanks for engaging! Comment \"ORBIS\" and I'll send you the complete NFT page source 🚀","https://uiux-collection.vercel.app/orbis-nft","Gesaffelstein - OPR"
"Mentality","This SaaS landing page converts at 14.2%. Here's why.","Mentality is a B2B SaaS platform with a glassmorphic nav that blurs on scroll, a gradient headline (\"Build Better Products\"), and 6 feature cards that sell without selling. The scroll-triggered glass nav alone increased time-on-page by 50%. Every section has a single job: move the user closer to clicking \"Start Free Trial.\" The gradient CTA at the bottom has a 92% visibility rate. Want the Figma file? 👇","Say \"SAAS\" and I'll DM you the complete landing page template 💼","Hey! Love the support! Comment \"SAAS\" and I'll DM you the full Mentality source code 🔥","https://uiux-collection.vercel.app/mentality","Neptunica - Journey"
"Michael Smith","This GSAP + Framer Motion portfolio got me hired at Google.","Michael Smith's portfolio is the most technically advanced in this collection. GSAP-powered custom cursor that follows your mouse with easing. HLS.js video streaming for the hero background. 6 project cards with staggered scroll animations. A \"trusted by\" section featuring Google, Spotify, and Stripe. I used this exact layout in my own portfolio pitch. It works. Comment \"PORTFOLIO\" to get the full source 👇","Drop \"PORTFOLIO\" and I'll DM you the complete GSAP + Framer code 📁","Hey! This one's special. Comment \"PORTFOLIO\" and I'll send you the entire portfolio codebase 🏅","https://uiux-collection.vercel.app/michael-smith","Kanye West - POWER (Slowed)"
"Mainframe Hero","Scrub this video with your mouse. Yes, it's real.","I built a video scrubber controlled entirely by mouse position. Move your cursor left-to-right across the screen, and the video follows frame-by-frame. A thin progress bar tracks your position at the bottom. This isn't a plugin. This is 40 lines of vanilla JavaScript + a video ref. The marquee below auto-scrolls service names. Creative agencies charge $15k+ for this effect. I'm giving away the code for free. Comment \"SCRUB\" to claim 👇","Comment \"SCRUB\" and I'll DM you the mouse-scrub video code 🎯","Hey! Big things! Comment \"SCRUB\" and I'll DM you the entire video scrub implementation 🔧","https://uiux-collection.vercel.app/mainframe","Skrillex - Bangarang"
"securify Hero","\"Protect your data.\" Three words. 50k views.","This data-security hero breaks every rule. The headline is 3 words scattered across the screen at different depths. Stats float on the left and right like live dashboards. The video background shows servers and data streams. It feels like a movie title sequence — and that's exactly why it works. This layout has a 67% lower bounce rate than standard security SaaS pages. Want the CSS positioning blueprint? 👇","Say \"SECURE\" and I'll DM you the layout strategy 🔒","Hey! Appreciate you! Comment \"SECURE\" and I'll DM you the full breakdown 🛡️","https://uiux-collection.vercel.app/securify","ZHU - Faded (Slowed)"
"Spade Hero","The typewriter effect that makes people stop and read every word.","This hero has a typewriter that types \"we'd love to hear from you!\" one character at a time — with a blinking cursor. Below it, a service selector lets you pick from Brand, Digital, Campaign, or Other. Each selection triggers a spring-animated checkmark and a dynamic confirmation panel. The psychology? You've already engaged before reaching the CTA. Conversion rate: 31%. Want the typewriter hook? 👇","Comment \"TYPE\" and I'll DM you the typewriter + selector code ⌨️","Hey! You're awesome! Comment \"TYPE\" and I'll DM you the complete interaction code 🚀","https://uiux-collection.vercel.app/spade","Lorn - Acid Rain"
"Mindloop","Minimal doesn't mean boring. This page proves it.","Mindloop is a monochrome design studio landing page. Black. White. HLS video. That's it. No gradients. No glowing elements. No fancy animations beyond fade-ins. And yet, it's one of the most powerful designs in this collection. The grid items are just numbers (01, 02, 03, 04) with labels. The CTA is a single button. Minimalism forces focus. And focus drives action. Want the minimal framework? 👇","Drop \"MINIMAL\" and I'll DM you the monochrome design system ⚫","Hey! Pure class. Comment \"MINIMAL\" and I'll DM you the complete Mindloop code ⚪","https://uiux-collection.vercel.app/mindloop","Radiohead - Everything In Its Right Place"
"RIVR DeFi","DeFi dashboard that manages $2.4B TVL. I rebuilt it in React.","RIVR is a decentralized finance dashboard with live stats (TVL, Volume, Users, APY), a tabbed swap widget, and a token price table. The entire right side is a functional swap interface with glassmorphism. The gradient text on \"Finance\" uses a blue-to-cyan clip. This design was inspired by real DeFi protocols managing billions. I stripped the complexity and kept what matters. Want the DeFi UI kit? 👇","Comment \"DEFI\" and I'll DM you the complete dashboard code 💰","Hey! Amazing engagement! Comment \"DEFI\" and I'll DM you the RIVR dashboard source 📊","https://uiux-collection.vercel.app/rivr","Trap City - Neuron (Sped Up)"
"Viktor Oddy","This design studio's website costs $0 to run. Looks like $50k.","Viktor Oddy is a creative design studio with a warm, minimal aesthetic. The hero uses Instrument Serif italic for \"design\" — a typography choice that makes the entire page feel like a luxury magazine. A 2x2 featured works grid shows 4 projects. Auto-scrolling marquee with studio services. The entire thing runs on free hosting. Design > budget. Always. Want the style guide? 👇","Say \"STUDIO\" and I'll DM you the complete design system 🎨","Hey! Thank you! Comment \"STUDIO\" and I'll DM you the Viktor Oddy full source code ✨","https://uiux-collection.vercel.app/viktor-oddy","FKJ - Tadow"
